Geneid	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R2	20_R3	Entity	Symbol
gene-AUO97_RS03685	1	0	0	3	2	0	0	0	host	gene-AUO97_RS03685
gene-AUO97_RS03400	899	760	674	1038	928	834	816	984	host	baeS
gene-AUO97_RS16280	327	220	161	306	267	221	434	353	host	gene-AUO97_RS16280
gene-AUO97_RS01635	211	151	136	260	182	174	175	197	host	gene-AUO97_RS01635
gene-AUO97_RS13795	62	50	60	96	68	64	56	56	host	gene-AUO97_RS13795
gene-AUO97_RS08890	212	160	158	217	234	205	225	236	host	gene-AUO97_RS08890
gene-AUO97_RS16550	41	25	24	40	32	20	26	23	host	adeS
gene-AUO97_RS11400	3269	2771	2471	3659	3685	3254	2750	3011	host	gene-AUO97_RS11400
gene-AUO97_RS02225	557	505	429	612	654	447	294	255	host	gene-AUO97_RS02225
gene-AUO97_RS06450	6778	6944	7466	9387	10512	9751	9168	11248	host	atpE
gene-AUO97_RS03545	0	0	0	0	0	0	0	0	host	gene-AUO97_RS03545
gene-AUO97_RS12020	509	474	449	555	521	535	337	427	host	gene-AUO97_RS12020
gene-AUO97_RS12875	0	0	0	0	1	0	1	0	host	gene-AUO97_RS12875
gene-AUO97_RS03145	536	448	495	564	590	559	395	498	host	mutM
gene-AUO97_RS02110	324	197	200	321	286	224	339	330	host	fdhD
gene-AUO97_RS09090	1245	1120	1435	1452	1645	1646	988	1014	host	secG
gene-AUO97_RS09455	149	114	117	140	161	140	109	66	host	gene-AUO97_RS09455
gene-AUO97_RS13810	42	45	50	38	43	27	28	29	host	gene-AUO97_RS13810
gene-AUO97_RS02885	4219	3651	4040	4855	5151	5268	3171	4031	host	gene-AUO97_RS02885
gene-AUO97_RS00925	0	0	0	0	1	0	0	0	host	gene-AUO97_RS00925
gene-AUO97_RS04280	56416	55574	64377	81444	88676	90547	50788	65276	host	rpoA
gene-AUO97_RS00620	1650	1297	1217	1639	1585	1492	1091	1300	host	gene-AUO97_RS00620
gene-AUO97_RS11470	1867	1604	768	2681	2616	1788	1937	2870	host	cntA
gene-AUO97_RS18950	17105	12939	12489	19845	19528	17172	15003	19633	host	ppsA
gene-AUO97_RS06455	12213	11225	11339	15009	16630	16554	14691	16333	host	atpB
gene-AUO97_RS14430	15656	7135	4511	18612	14843	5708	12104	5664	host	surA1
gene-AUO97_RS17365	307	262	229	342	300	304	217	255	host	gene-AUO97_RS17365
gene-AUO97_RS17615	377	237	200	398	339	225	358	337	host	gene-AUO97_RS17615
gene-AUO97_RS15405	364	266	314	388	371	349	238	296	host	tadA
gene-AUO97_RS05255	399	372	365	543	495	597	887	983	host	aqpZ
gene-AUO97_RS13470	170	138	143	142	153	141	99	148	host	gene-AUO97_RS13470
gene-AUO97_RS06960	331	261	297	376	378	335	293	246	host	gene-AUO97_RS06960
gene-AUO97_RS05570	704	651	599	715	732	678	558	651	host	gene-AUO97_RS05570
gene-AUO97_RS17160	2	3	4	9	5	10	8	9	host	gene-AUO97_RS17160
gene-AUO97_RS02310	351	341	389	417	478	592	390	593	host	glpK
gene-AUO97_RS09980	123	158	202	140	183	181	79	112	host	gene-AUO97_RS09980
gene-AUO97_RS04380	23192	22940	26831	40123	40755	42716	21017	27261	host	rplV
gene-AUO97_RS09970	188	195	200	198	217	215	110	136	host	gene-AUO97_RS09970
gene-AUO97_RS11875	429	372	376	442	460	444	389	531	host	gene-AUO97_RS11875
gene-AUO97_RS16880	0	0	0	0	0	0	0	0	host	gene-AUO97_RS16880
gene-AUO97_RS09430	818	687	809	1190	1035	1222	813	938	host	gene-AUO97_RS09430
gene-AUO97_RS17290	103	105	68	129	93	84	77	76	host	gene-AUO97_RS17290
gene-AUO97_RS12150	461	368	318	432	386	333	313	367	host	gene-AUO97_RS12150
gene-AUO97_RS04305	52416	51684	60339	81033	85504	92356	50942	67118	host	secY
gene-AUO97_RS10375	113	121	95	214	163	171	169	228	host	gene-AUO97_RS10375
gene-AUO97_RS11375	4375	4124	4648	5472	5636	5703	3026	2721	host	ispE
gene-AUO97_RS05490	2424	2063	2593	3252	3115	3533	2081	2431	host	gene-AUO97_RS05490
gene-AUO97_RS12315	237	191	235	251	266	243	165	251	host	rsmD
gene-AUO97_RS07575	3493	2495	2024	4165	4044	3361	3310	3402	host	gene-AUO97_RS07575
gene-AUO97_RS19100	100	77	80	94	89	104	69	80	host	gene-AUO97_RS19100
gene-AUO97_RS05960	0	0	0	0	0	0	0	0	host	trbK
gene-AUO97_RS05970	0	0	0	0	0	0	0	0	host	gene-AUO97_RS05970
gene-AUO97_RS11680	56	63	47	66	70	100	48	66	host	gene-AUO97_RS11680
gene-AUO97_RS01940	3410	3410	3848	4166	4758	4776	2818	3482	host	purM
gene-AUO97_RS06980	655	562	613	699	782	775	565	749	host	murJ
gene-AUO97_RS05495	762	684	826	980	1066	1121	950	1178	host	gene-AUO97_RS05495
gene-AUO97_RS18210	0	0	0	0	0	0	0	0	host	gene-AUO97_RS18210
gene-M172_gp40	1	0	1	4	2	2	0	0	phage	gene-M172_gp40
gene-AUO97_RS12750	0	0	0	0	0	0	0	0	host	gene-AUO97_RS12750
gene-AUO97_RS05045	553	594	733	725	876	945	505	707	host	gene-AUO97_RS05045
gene-AUO97_RS15365	643	565	538	818	762	781	573	661	host	gene-AUO97_RS15365
gene-AUO97_RS17515	1638	1356	1625	1903	1833	1412	1516	1437	host	gene-AUO97_RS17515
gene-AUO97_RS04600	3919	3513	4098	4654	5028	5034	3603	4435	host	glyS
gene-AUO97_RS05245	26	35	34	24	23	30	19	35	host	gene-AUO97_RS05245
gene-AUO97_RS02475	1421	1258	1327	1607	1767	1729	1249	1472	host	trpS
gene-AUO97_RS11955	7	5	9	8	16	6	13	18	host	gene-AUO97_RS11955
gene-AUO97_RS18385	740	553	509	769	757	594	564	439	host	amvA
gene-AUO97_RS05040	315	311	249	244	280	304	221	217	host	gene-AUO97_RS05040
gene-AUO97_RS06395	157	145	108	175	159	166	172	179	host	gene-AUO97_RS06395
gene-AUO97_RS01610	268	248	252	376	351	325	279	318	host	gene-AUO97_RS01610
gene-AUO97_RS13085	1	0	0	0	0	0	0	0	host	gene-AUO97_RS13085
gene-AUO97_RS15115	200	155	146	175	174	211	119	155	host	ruvC
gene-AUO97_RS19280	4	1	0	2	2	2	2	0	host	gene-AUO97_RS19280
gene-AUO97_RS16070	173	139	192	198	176	267	198	519	host	gene-AUO97_RS16070
gene-AUO97_RS03950	397	336	312	464	464	473	391	538	host	gene-AUO97_RS03950
gene-AUO97_RS08965	6390	4804	5639	8959	8391	7953	7527	9318	host	fadA
gene-AUO97_RS11550	120	72	108	106	75	84	107	83	host	gene-AUO97_RS11550
gene-AUO97_RS12680	233	193	227	234	230	254	141	189	host	gene-AUO97_RS12680
gene-AUO97_RS01950	1050	849	894	1291	1269	1161	1036	1171	host	gene-AUO97_RS01950
gene-AUO97_RS12810	0	0	0	0	0	0	0	0	host	gene-AUO97_RS12810
gene-AUO97_RS14340	0	0	0	0	0	0	0	0	host	gene-AUO97_RS14340
gene-AUO97_RS15865	859	803	886	791	917	881	598	707	host	hscB
gene-AUO97_RS18280	59	66	48	69	68	56	59	45	host	gene-AUO97_RS18280
gene-AUO97_RS02115	2626	1722	1400	3042	2477	2150	2755	3286	host	gene-AUO97_RS02115
gene-AUO97_RS09450	330	321	326	345	335	356	194	228	host	gene-AUO97_RS09450
gene-AUO97_RS06950	0	0	0	1	0	1	0	1	host	tviB
gene-AUO97_RS06755	0	1	0	0	0	0	0	0	host	gene-AUO97_RS06755
gene-AUO97_RS10335	104	88	104	107	117	132	104	144	host	gene-AUO97_RS10335
gene-AUO97_RS01110	986	817	865	1229	1186	1089	547	791	host	pstB
gene-AUO97_RS17335	88	64	85	70	66	64	62	75	host	gene-AUO97_RS17335
gene-AUO97_RS18155	0	0	0	0	0	0	0	0	host	gene-AUO97_RS18155_gene_terL
gene-AUO97_RS16035	93	87	65	136	127	90	133	132	host	gene-AUO97_RS16035
gene-AUO97_RS16145	151	135	166	210	202	266	109	93	host	gene-AUO97_RS16145
gene-AUO97_RS10595	983	891	933	1019	1065	1155	717	830	host	ibaG
gene-AUO97_RS01540	224	217	217	213	278	251	175	185	host	tmk
gene-AUO97_RS04585	83	94	80	120	104	122	101	119	host	gene-AUO97_RS04585
gene-AUO97_RS18925	40	35	42	54	38	54	19	43	host	pgaD
gene-AUO97_RS14840	1429	1604	2042	2261	2598	3162	3004	3913	host	gene-AUO97_RS14840
gene-AUO97_RS03595	6563	5433	5882	8291	8426	8248	6723	7894	host	secD
gene-AUO97_RS14495	45	31	36	29	17	33	18	22	host	gene-AUO97_RS14495
gene-AUO97_RS07525	155	139	174	201	167	198	156	185	host	dkgB
gene-AUO97_RS12085	2022	1971	1915	2261	2589	2724	1750	2099	host	gene-AUO97_RS12085
gene-AUO97_RS05885	0	0	0	0	0	0	0	0	host	gene-AUO97_RS05885
gene-AUO97_RS11710	195	124	120	236	231	182	217	189	host	gene-AUO97_RS11710
gene-AUO97_RS01585	11760	7798	6396	10832	10225	6295	11650	12623	host	carO
gene-AUO97_RS08865	21936	22332	26053	30199	33518	34202	26217	34349	host	rplL
gene-AUO97_RS09510	612	435	467	805	726	858	415	409	host	leuC
gene-AUO97_RS05755	0	0	0	0	0	2	0	0	host	gene-AUO97_RS05755
gene-AUO97_RS14385	612	447	338	891	790	513	746	681	host	gene-AUO97_RS14385
gene-AUO97_RS13770	80	48	64	74	62	57	49	70	host	gene-AUO97_RS13770
gene-AUO97_RS02795	2058	2033	2067	2437	2483	2824	1708	2446	host	gene-AUO97_RS02795
gene-AUO97_RS05500	261	207	227	343	376	338	198	262	host	tenA
