Geneid	5_R1	5_R2	30_R1	30_R2	60_R1	60_R2	120_R1	120_R2	Entity	Symbol
gene-TX72_RS10250	261	269	44	66	30	13	8	5	host	rodA
gene-TX72_RS01755	136	117	30	70	21	18	5	4	host	gene-TX72_RS01755
gene-TX72_RS05590	4510	5673	707	1035	590	195	103	147	host	glpX
gene-TX72_RS05170	123	102	11	14	10	8	2	4	host	gene-TX72_RS05170
gene-TX72_RS06105	103	107	18	32	12	5	6	3	host	gene-TX72_RS06105
gene-TX72_RS11835	1097	1305	176	289	117	59	16	31	host	nusG
gene-TX72_RS04015	195	239	47	51	17	9	4	5	host	gene-TX72_RS04015
gene-TX72_RS00305	19	25	6	6	6	1	1	1	host	gene-TX72_RS00305
gene-TX72_RS09995	4131	11305	508	817	360	164	65	102	host	gene-TX72_RS09995
gene-BSV9_gp45	0	0	14257	36588	125359	66507	42583	63728	phage	gene-BSV9_gp45
gene-TX72_RS07205	96	78	9	26	11	2	0	2	host	gene-TX72_RS07205
gene-TX72_RS02540	1612	1452	137	244	69	54	29	30	host	gene-TX72_RS02540
gene-TX72_RS04625	145	126	20	35	15	13	3	4	host	gene-TX72_RS04625
gene-TX72_RS03565	711	704	117	182	62	47	13	23	host	gene-TX72_RS03565
gene-TX72_RS09910	7696	8236	897	1277	563	317	167	199	host	petB
gene-BSV9_gp169	0	0	3044	8780	13473	6142	3568	4906	phage	gene-BSV9_gp169
gene-TX72_RS02325	36	28	4	4	2	1	0	0	host	gene-TX72_RS02325
gene-TX72_RS08370	163	142	45	56	31	11	16	11	host	gene-TX72_RS08370
gene-TX72_RS07180	60	56	8	16	14	9	1	5	host	gene-TX72_RS07180
gene-TX72_RS00740	736	757	70	154	61	25	19	13	host	gene-TX72_RS00740
gene-TX72_RS14165	30	16	2	16	1	0	1	0	host	gene-TX72_RS14165
gene-TX72_RS00475	1268	1436	181	316	121	58	25	38	host	infC
gene-TX72_RS12560	412	300	221	334	191	46	51	70	host	cynS
gene-TX72_RS10980	111	113	19	20	25	10	2	10	host	gene-TX72_RS10980
gene-TX72_RS11155	880	838	108	162	63	27	20	17	host	zds
gene-TX72_RS10820	241	223	31	48	22	15	9	7	host	gene-TX72_RS10820
gene-TX72_RS13810	16300	13100	3754	5426	2344	1778	731	617	host	gene-TX72_RS13810
gene-TX72_RS12520	118	122	13	27	11	7	3	4	host	moaB
gene-TX72_RS00785	355	417	56	89	40	24	13	17	host	gene-TX72_RS00785
gene-TX72_RS01710	122	136	12	34	13	9	3	6	host	msrB
gene-BSV9_gp154	0	0	26636	73865	78049	41383	13709	15199	phage	gene-BSV9_gp154
gene-TX72_RS00635	1310	1217	139	274	127	78	46	32	host	rpaB
gene-TX72_RS02445	94	86	17	30	17	7	0	4	host	gene-TX72_RS02445
gene-BSV9_gp43	0	0	16890	44976	125618	68431	37113	52845	phage	gene-BSV9_gp43
gene-TX72_RS01975	589	541	98	174	69	32	23	15	host	gene-TX72_RS01975
gene-TX72_RS10235	212	242	34	46	26	11	8	10	host	gene-TX72_RS10235
gene-TX72_RS07530	74	68	9	22	6	3	3	2	host	gene-TX72_RS07530
gene-TX72_RS00240	140	126	13	20	9	4	4	1	host	gene-TX72_RS00240
gene-TX72_RS08390	550	436	144	233	117	80	37	27	host	gene-TX72_RS08390
gene-TX72_RS02870	767	625	75	148	57	35	18	28	host	gene-TX72_RS02870
gene-TX72_RS00530	506	482	52	146	40	40	18	17	host	gene-TX72_RS00530
gene-TX72_RS08080	259	263	29	45	30	11	5	7	host	gene-TX72_RS08080
gene-TX72_RS05705	28	29	5	9	3	1	3	0	host	gene-TX72_RS05705
