Geneid	15	60	180	300	420	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_1578	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1578	None	None	8.856514015781586
gene-SynWH7803_1848	0.0	0.0	0.0	0.0	0.0	host	tatC	None	None	12.618066999919346
gene-SynWH7803_0472	0.0	0.0	0.0	0.0	0.0	host	purM	None	None	24.565105623675425
gene-SynWH7803_2279	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2279	None	None	19.42249080768639
gene-SynWH7803_2088	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2088	None	None	11.8985394630523
gene-SynWH7803_1262	0.0	0.0	0.0	0.0	0.0	host	dapF	None	None	14.502166127052611
gene-SynWH7803_0275	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0275	None	None	30.623207061193394
gene-SynWH7803_0174	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0174	None	None	2.9681387376569646
gene-SynWH7803_0634	0.0	0.0	0.0	0.0	0.0	host	tal	None	None	89.84477394433722
gene-SynWH7803_1413	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1413	None	None	26.010070694329478
gene-SynWH7803_0446	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0446	None	None	121.1112797485456
gene-SynWH7803_2472	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2472	None	None	1.4615130066907513
gene-SynWH7803_0175	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0175	None	None	3.0221576009791793
gene-SynWH7803_1587	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1587	None	None	4.057949589507727
gene-SynWH7803_1911	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1911	None	None	19.632552318807534
gene-SynWH7803_0071	0.0	0.0	0.0	0.0	0.0	host	tig	None	None	53.37494335200106
gene-SynWH7803_1818	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1818	None	None	70.1398695374893
gene-SynWH7803_1996	0.0	0.0	0.0	0.0	0.0	host	secG	None	None	85.27794303001365
gene-SynWH7803_0141	0.0	0.0	0.0	0.0	0.0	host	secA	None	None	19.255161340155077
gene-SynWH7803_0147	0.0	0.0	0.0	0.0	0.0	host	gyrB	None	None	25.20489215546097
gene-SSBP1_gp03	0.0	0.0	0.0	0.0	0.0	phage	gene-SSBP1_gp03	early	middle	4788.835020417621
gene-SynWH7803_0702	0.0	0.0	0.0	0.0	0.0	host	dnaA	None	None	9.588711040480044
gene-SynWH7803_2351	0.0	0.0	0.0	0.0	0.0	host	pgk%2C cbbk	None	None	52.64214021929262
gene-SynWH7803_2449	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2449	None	None	4.858700719852466
gene-SynWH7803_1056	0.0	0.0	0.0	0.0	0.0	host	msrA	None	None	116.18620358522962
gene-SynWH7803_0670	0.0	0.0	0.0	0.0	0.0	host	chlL%2C frxC	None	None	119.88202894768723
gene-SynWH7803_0997	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0997	None	None	9.35132763112535
gene-SynWH7803_2258	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2258	None	None	66.17345693917802
gene-SynWH7803_2398	0.0	0.0	0.0	0.0	0.0	host	alaS	None	None	7.914724368888959
gene-SynWH7803_0287	0.0	0.0	0.0	0.0	0.0	host	psbK	None	None	368.971419007604
gene-SynWH7803_0819	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0819	None	None	48.31039967543784
gene-SynWH7803_1137	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1137	None	None	18.76443695024199
gene-SynWH7803_0519	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0519	None	None	37.72907123673498
gene-RNA_18	0.0	0.0	0.0	0.0	0.0	host	gene-RNA_18	None	None	336.0858667568629
gene-SynWH7803_0033	0.0	0.0	0.0	0.0	0.0	host	accB	None	None	144.50356423820992
gene-SynWH7803_0304	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0304	None	None	57.797934566385166
gene-SynWH7803_0337	0.0	0.0	0.0	0.0	0.0	host	crtR	None	None	29.291047062444303
gene-SynWH7803_1763	0.0	0.0	0.0	0.0	0.0	host	clpP	None	None	92.8967342412816
gene-SynWH7803_2223	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2223	None	None	31.415962208297113
gene-SynWH7803_2348	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2348	None	None	5.555801721710574
gene-SynWH7803_1125	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1125	None	None	16.903701599667855
gene-SynWH7803_0908	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0908	None	None	3.365671833093802
gene-SynWH7803_0205	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0205	None	None	53.83201853643702
gene-SynWH7803_2069	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2069	None	None	95.66820147435449
gene-SynWH7803_1475	0.0	0.0	0.0	0.0	0.0	host	ispG	None	None	28.10004071633058
gene-SynWH7803_0387	0.0	0.0	0.0	0.0	0.0	host	lipA	None	None	15.4575021919498
gene-SynWH7803_1979	0.0	0.0	0.0	0.0	0.0	host	petF	None	None	829.9257206407932
gene-SynWH7803_1606	0.0	0.0	0.0	0.0	0.0	host	thrA	None	None	26.002209020797682
gene-SynWH7803_1116	0.0	0.0	0.0	0.0	0.0	host	ftsH	None	None	14.123443585258395
gene-SynWH7803_0108	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0108	None	None	46.540166585077266
gene-SynWH7803_2127	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2127	None	None	7.774031769708234
gene-SynWH7803_0901	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0901	None	None	4.0769667962772
gene-SynWH7803_0982	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0982	None	None	53.836989819338804
gene-SynWH7803_1343	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1343	None	None	10.520406980503394
gene-SynWH7803_0524	0.0	0.0	0.0	0.0	0.0	host	hemK	None	None	3.579228276278821
gene-SynWH7803_1904	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1904	None	None	147.58430873971056
gene-SynWH7803_1563	0.0	0.0	0.0	0.0	0.0	host	cobB	None	None	31.821663503543387
gene-SynWH7803_1398	0.0	0.0	0.0	0.0	0.0	host	stpA	None	None	8.517363883852243
gene-SynWH7803_0357	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0357	None	None	63.7145382712169
gene-SynWH7803_1936	0.0	0.0	0.0	0.0	0.0	host	cphA	None	None	3.9812718288888527
gene-SynWH7803_2002	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2002	None	None	336.0533998714718
gene-SynWH7803_2053	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2053	None	None	66.73373608730383
gene-SynWH7803_1690	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1690	None	None	2.7993268390947366
gene-SynWH7803_1881	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1881	None	None	6.328293353610326
gene-SynWH7803_0612	0.0	0.0	0.0	0.0	0.0	host	priA	None	None	3.1776356233245586
gene-SynWH7803_0962	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0962	None	None	27.89390390238826
gene-SynWH7803_0879	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0879	None	None	5.241248796157836
gene-SynWH7803_2082	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_2082	None	None	17.298151572427493
gene-SynWH7803_1530	0.0	0.0	0.0	0.0	0.0	host	bioB	None	None	13.71786597854143
gene-SynWH7803_0040	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0040	None	None	86.05967805191278
gene-SynWH7803_1373	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_1373	None	None	143.04275349182078
gene-SynWH7803_0168	0.0	0.0	0.0	0.0	0.0	host	gene-SynWH7803_0168	None	None	1.0178388217352121
gene-SynWH7803_1888	0.0	0.0	0.0	0.0	0.0	host	birA	None	None	4.987204606627635
