Geneid	30	480	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_0221	0.0	0.0	host	ho1	None	None	1.233772055792007
gene-SynWH7803_1865	0.0	0.0	host	nanE	None	None	0.6150098188057349
gene-SynWH7803_0028	0.0	0.0	host	murC	None	None	1.4768795169683044
gene-SynWH7803_2260	0.0	0.0	host	devC	None	None	5.053602023788191
gene-SynWH7803_1694	0.0	0.0	host	gene-SynWH7803_1694	None	None	0.08188776802272411
gene-SynWH7803_0395	0.0	0.0	host	gene-SynWH7803_0395	None	None	0.32880232628368056
gene-SynWH7803_0570	0.0	0.0	host	gene-SynWH7803_0570	None	None	3.4400094858790653
gene-SynWH7803_0602	0.0	0.0	host	mqoA	None	None	0.22004565784484084
gene-SynWH7803_1370	0.0	0.0	host	gene-SynWH7803_1370	None	None	4.011326759455601
gene-SynWH7803_1599	0.0	0.0	host	gene-SynWH7803_1599	None	None	0.012607556110893196
gene-SynWH7803_1606	0.0	0.0	host	thrA	None	None	0.14595090712239087
gene-SynWH7803_1970	0.0	0.0	host	gene-SynWH7803_1970	None	None	1.46431290474231
gene-SynWH7803_1558	0.0	0.0	host	sasA	None	None	2.2682185085233164
gene-SynWH7803_0417	0.0	0.0	host	rplO	None	None	42.79465963585937
gene-SynWH7803_1411	0.0	0.0	host	alkB	None	None	1.6799016022372555
gene-SynWH7803_1032	0.0	0.0	host	aroA	None	None	1.7096938937226873
gene-SynWH7803_2153	0.0	0.0	host	gene-SynWH7803_2153	None	None	3.616190066918219
gene-SynWH7803_0011	0.0	0.0	host	ftsY	None	None	2.118383555185221
gene-SynWH7803_0529	0.0	0.0	host	minD	None	None	0.887240028603172
gene-SynWH7803_1735	0.0	0.0	host	gene-SynWH7803_1735	None	None	2.258232348671865
gene-SynWH7803_0349	0.0	0.0	host	gene-SynWH7803_0349	None	None	0.01170348508786645
gene-SynWH7803_1216	0.0	0.0	host	ftsH	None	None	1.0414390484546845
gene-SynWH7803_0049	0.0	0.0	host	gene-SynWH7803_0049	None	None	27.370762026460067
gene-SynWH7803_2520	0.0	0.0	host	gene-SynWH7803_2520	None	None	0.5746707319606712
gene-SynWH7803_2111	0.0	0.0	host	gene-SynWH7803_2111	None	None	0.9460825487743101
gene-SynWH7803_0837	0.0	0.0	host	gene-SynWH7803_0837	None	None	1.221402318282375
gene-SynWH7803_1710	0.0	0.0	host	ppnK	None	None	0.1212895463703554
gene-SynWH7803_1294	0.0	0.0	host	gene-SynWH7803_1294	None	None	0.42749377292279855
gene-SynWH7803_0342	0.0	0.0	host	gene-SynWH7803_0342	None	None	5.858305806842328
gene-SynWH7803_1467	0.0	0.0	host	gene-SynWH7803_1467	None	None	0.3578234739308477
gene-SynWH7803_1828	0.0	0.0	host	gene-SynWH7803_1828	None	None	2.34530729638304
gene-SynWH7803_2328	0.0	0.0	host	dgkA	None	None	3.613315008026941
gene-SynWH7803_1057	0.0	0.0	host	gene-SynWH7803_1057	None	None	1.081227363901099
gene-SynWH7803_0593	0.0	0.0	host	gene-SynWH7803_0593	None	None	0.7094086379859236
gene-SynWH7803_1584	0.0	0.0	host	gene-SynWH7803_1584	None	None	0.10523691394963461
gene-SynWH7803_0992	0.0	0.0	host	gene-SynWH7803_0992	None	None	0.6238641646216118
gene-SynWH7803_0123	0.0	0.0	host	gene-SynWH7803_0123	None	None	10.043210017389548
gene-SynWH7803_1404	0.0	0.0	host	gene-SynWH7803_1404	None	None	0.07157384325761149
gene-SynWH7803_1995	0.0	0.0	host	gpmI	None	None	0.2539562297075276
gene-SynWH7803_0987	0.0	0.0	host	gene-SynWH7803_0987	None	None	0.06076047907655664
gene-SynWH7803_0077	0.0	0.0	host	gene-SynWH7803_0077	None	None	5.570715072312186
gene-SynWH7803_0273	0.0	0.0	host	gene-SynWH7803_0273	None	None	0.19496441164742834
gene-SynWH7803_0018	0.0	0.0	host	gene-SynWH7803_0018	None	None	0.00023091993007041638
gene-SynWH7803_2360	0.0	0.0	host	gene-SynWH7803_2360	None	None	1.3396190636336707
gene-SynWH7803_0928	0.0	0.0	host	gene-SynWH7803_0928	None	None	1.37398523837158
gene-SynWH7803_0118	0.0	0.0	host	gene-SynWH7803_0118	None	None	0.017895846827870158
gene-SynWH7803_1311	0.0	0.0	host	gene-SynWH7803_1311	None	None	0.7280540849625788
gene-SynWH7803_1107	0.0	0.0	host	gene-SynWH7803_1107	None	None	0.14093186543449865
