Geneid	30_R1	480_R1	Entity	Symbol
gene-SynWH7803_0593	106	107	host	gene-SynWH7803_0593
gene-SynWH7803_1584	192	174	host	gene-SynWH7803_1584
gene-SynWH7803_0992	146	148	host	gene-SynWH7803_0992
gene-SynWH7803_0123	43634	33427	host	gene-SynWH7803_0123
gene-SynWH7803_1404	400	361	host	gene-SynWH7803_1404
gene-SynWH7803_1995	376	365	host	gpmI
gene-SynWH7803_0987	155	145	host	gene-SynWH7803_0987
gene-SynWH7803_0077	438	534	host	gene-SynWH7803_0077
gene-SynWH7803_0273	433	334	host	gene-SynWH7803_0273
gene-SynWH7803_0018	1193	1026	host	gene-SynWH7803_0018
gene-SynWH7803_2360	350	364	host	gene-SynWH7803_2360
gene-SynWH7803_0928	565	408	host	gene-SynWH7803_0928
gene-SynWH7803_0118	190	157	host	gene-SynWH7803_0118
gene-SynWH7803_1311	215	219	host	gene-SynWH7803_1311
gene-SynWH7803_1107	94	74	host	gene-SynWH7803_1107
gene-SynWH7803_2006	260	264	host	gene-SynWH7803_2006
gene-SynWH7803_1578	104	94	host	gene-SynWH7803_1578
gene-SynWH7803_2359	169	174	host	gene-SynWH7803_2359
gene-SynWH7803_1002	77	63	host	gene-SynWH7803_1002
gene-SynWH7803_1262	247	331	host	dapF
gene-RNA_30	592	288	host	gene-RNA_30
gene-SynWH7803_0369	192	148	host	clpS
gene-SynWH7803_2274	177	208	host	gene-SynWH7803_2274
gene-SynWH7803_1376	1554	1527	host	gene-SynWH7803_1376
gene-SynWH7803_2430	135	96	host	gene-SynWH7803_2430
gene-SynWH7803_2441	215	230	host	gene-SynWH7803_2441
gene-SynWH7803_0061	300	261	host	gene-SynWH7803_0061
gene-SynWH7803_0197	1175	877	host	acpP
gene-SynWH7803_0582	553	537	host	pdhC
gene-SynWH7803_1416	504	349	host	gene-SynWH7803_1416
gene-SynWH7803_1298	2196	2157	host	glgC
gene-SynWH7803_1501	335	424	host	gene-SynWH7803_1501
gene-SynWH7803_1851	3012	2315	host	petA
gene-SynWH7803_2087	512	410	host	gene-SynWH7803_2087
gene-SynWH7803_1300	2250	1819	host	glpX%2C cbbF%2C fbp
gene-SynWH7803_1363	1722	1562	host	pdhB
gene-SynWH7803_1183	584	322	host	gene-SynWH7803_1183
gene-SynWH7803_1486	352	344	host	gene-SynWH7803_1486
gene-SynWH7803_1414	350	259	host	gene-SynWH7803_1414
gene-SynWH7803_0795	379	311	host	gene-SynWH7803_0795
gene-SynWH7803_1398	267	271	host	stpA
gene-SynWH7803_0481	890	712	host	pebB
gene-SynWH7803_0134	452	357	host	gene-SynWH7803_0134
gene-SynWH7803_1143	120	138	host	gene-SynWH7803_1143
gene-SynWH7803_0900	78	92	host	gene-SynWH7803_0900
gene-SynWH7803_0367	364	389	host	gene-SynWH7803_0367
gene-SynWH7803_0146	104	103	host	miaA
gene-SynWH7803_2189	237	275	host	gene-SynWH7803_2189
gene-SynWH7803_1458	1801	2203	host	glnN
gene-SynWH7803_0149	117	99	host	gene-SynWH7803_0149
gene-SynWH7803_0965	43	56	host	gene-SynWH7803_0965
gene-SynWH7803_2045	183	162	host	bioD
gene-SynWH7803_1666	174	174	host	gene-SynWH7803_1666
gene-SynWH7803_2485	1090	479	host	moeA
gene-SynWH7803_1227	972	796	host	gene-SynWH7803_1227
gene-SynWH7803_0918	78	53	host	gene-SynWH7803_0918
gene-SynWH7803_1853	521	475	host	cobM
gene-SynWH7803_1378	261	318	host	gene-SynWH7803_1378
gene-SynWH7803_1156	441	368	host	gene-SynWH7803_1156
gene-SynWH7803_0241	222	200	host	gene-SynWH7803_0241
gene-SynWH7803_0690	120	162	host	gene-SynWH7803_0690
gene-SynWH7803_2522	522	469	host	mraY
gene-SynWH7803_1777	802	702	host	gene-SynWH7803_1777
gene-SynWH7803_0187	167	199	host	gene-SynWH7803_0187
gene-SynWH7803_1818	108	133	host	gene-SynWH7803_1818
gene-SynWH7803_0781	257	241	host	gene-SynWH7803_0781
gene-SynWH7803_1358	516	565	host	gene-SynWH7803_1358
gene-SynWH7803_0189	103	101	host	nblB
gene-SynWH7803_1962	117	161	host	purD
gene-SynWH7803_1299	1600	1317	host	hemA
gene-SynWH7803_1155	273	249	host	gene-SynWH7803_1155
gene-SynWH7803_1769	157	157	host	gene-SynWH7803_1769
gene-SynWH7803_0723	148	148	host	gene-SynWH7803_0723
gene-SynWH7803_1441	420	398	host	gene-SynWH7803_1441_gene_hli
gene-RNA_29	141	213	host	gene-RNA_29
gene-SynWH7803_0675	275	208	host	gene-SynWH7803_0675
gene-SynWH7803_1038	761	639	host	preA
gene-SynWH7803_1332	226	197	host	devA
gene-SynWH7803_0244	492	361	host	ugd
gene-SynWH7803_1613	37	66	host	gene-SynWH7803_1613
gene-SynWH7803_1889	312	331	host	gene-SynWH7803_1889
gene-SynWH7803_0835	304	220	host	gene-SynWH7803_0835
gene-SynWH7803_2169	15866	12405	host	gene-SynWH7803_2169
gene-SynWH7803_1096	101	100	host	gene-SynWH7803_1096
gene-SynWH7803_1844	7989	7168	host	psaF
gene-SynWH7803_1175	192	204	host	gene-SynWH7803_1175
gene-SynWH7803_1380	406	417	host	crtH
gene-SynWH7803_2181	212	177	host	gene-SynWH7803_2181
gene-SynWH7803_2344	131	144	host	gene-SynWH7803_2344
gene-SynWH7803_0409	727	612	host	truA
gene-SynWH7803_1849	65	90	host	gene-SynWH7803_1849
gene-SynWH7803_0308	113	126	host	gene-SynWH7803_0308
gene-SynWH7803_1753	130	89	host	gene-SynWH7803_1753
gene-SynWH7803_1452	94	152	host	gene-SynWH7803_1452
gene-SynWH7803_0968	103	107	host	gene-SynWH7803_0968
gene-SynWH7803_1621	182	162	host	gene-SynWH7803_1621
gene-SynWH7803_2022	2097	1243	host	atpI
gene-SynWH7803_2068	664	684	host	gene-SynWH7803_2068
gene-SynWH7803_2121	210	211	host	gene-SynWH7803_2121
gene-SynWH7803_2527	1466	1538	host	gene-SynWH7803_2527
gene-SynWH7803_1297	1556	1427	host	gnd
gene-SynWH7803_1932	166	137	host	gene-SynWH7803_1932
gene-SynWH7803_0133	459	414	host	gene-SynWH7803_0133
