Geneid	5	10	20	40	50	65	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C1071	181	247	71	1783	32	26	host	gene-HB27c_C1071	None	None	435.85579571143376
gene-HB27c_C1249	1750	769	441	887	122	202	host	gene-HB27c_C1249	None	None	26.66291573199356
gene-HB27c_C1004	567	277	171	126	25	12	host	gene-HB27c_C1004	None	None	17.336308907333553
gene-HB27c_C1129	863	274	248	5733	117	58	host	gene-HB27c_C1129	None	None	572.7557132716946
gene-HB27c_C1201	601	3240	231	1207	121	126	host	gene-HB27c_C1201	None	None	296.2918801079539
gene-HB27c_C0158	1481	809	615	971	321	235	host	gene-HB27c_C0158	None	None	19.350685891020117
gene-HB27c_C0906	4919	26331	1368	2307	341	302	host	gene-HB27c_C0906	None	None	3664.111065473482
gene-HB27c_C1633	7173	1474	529	1173	221	134	host	gene-HB27c_C1633	None	None	116.86164270068704
gene-HB27c_C0343	494	164	162	244	62	48	host	gene-HB27c_C0343	None	None	6.6502648596974705
gene-HB27c_C1949	1230	746	309	420	70	46	host	gene-HB27c_C1949	None	None	17.740696481243297
gene-HB27c_P0277	21	11	13	23	5	4	host	gene-HB27c_P0277	None	None	0.5168927721343565
gene-HB27c_C1018	8032	5618	2747	2844	681	784	host	gene-HB27c_C1018	None	None	417.7391049326111
gene-HB27c_C0254	133	62	44	69	34	13	host	gene-HB27c_C0254	None	None	4.443779899598554
gene-HB27c_C0225	107	69	49	80	23	16	host	gene-HB27c_C0225	None	None	2.0399015272062555
gene-HB27c_C0719	436	205	152	312	123	89	host	gene-HB27c_C0719	None	None	9.520467111768866
gene-HB27c_C1597	8631	1228	844	260	29	9	host	gene-HB27c_C1597	None	None	6743.208487827031
gene-HB27c_C0169	4	6	0	3	3	1	host	torD	None	None	1.96828665188819
gene-HB27c_P0142	69	37	55	38	22	7	host	gene-HB27c_P0142	None	None	2.4465043430234767
gene-HB27c_C1353	3868	3464	2317	2180	523	141	host	gene-HB27c_C1353	None	None	202.60357438386643
gene-HB27c_C1988	3056	80	97	83	19	31	host	ddrA	None	None	346.1370841820005
gene-HB27c_C0546	229	126	146	186	78	46	host	gene-HB27c_C0546	None	None	9.448040861634862
gene-HB27c_C0759	282	115	133	152	53	22	host	gene-HB27c_C0759	None	None	3.1736034528928316
gene-HB27c_C1811	1040	558	387	1022	149	71	host	gene-HB27c_C1811	None	None	19.823351462099815
gene-HB27c_C1045	15	12	21	109	4	2	host	gene-HB27c_C1045	None	None	96.99724135440847
gene-HB27c_C1126	1909	907	1084	1055	216	126	host	gene-HB27c_C1126	None	None	68.1678861148142
gene-HB27c_C0757	545	287	194	407	84	62	host	gene-HB27c_C0757	None	None	4.007223692082271
gene-HB27c_C1785	3612	9212	585	904	140	78	host	gene-HB27c_C1785	None	None	4284.342075452138
gene-HB27c_C1322	215	72	66	100	24	11	host	gene-HB27c_C1322	None	None	1.7341594568716576
gene-HB27c_C1583	5611	9732	535	1603	352	212	host	gene-HB27c_C1583	None	None	911.7827769046164
gene-HB27c_C0940	4144	1053	720	1241	264	111	host	gene-HB27c_C0940	None	None	68.65245101098553
gene-HB27c_C0637	254	105	79	118	49	52	host	gene-HB27c_C0637	None	None	27.555089267755076
gene-HB27c_C1262	1745	901	581	1058	153	78	host	gene-HB27c_C1262	None	None	13.811310832063638
