Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-b4504	6.121877226512219	5.754862953335079	5.311544715466802	6.656299145934696	2.7694434428424284	2.9026352923132452	2.681987946811796	2.7429684758270496	2.1929737290635924	1.5493875975573992	4.916288680779191	0.8169802065058305	host	ykfH	None	None	0.9358101830933969
gene-b1238	30.0546529210972	29.237257972352833	20.422994477701007	18.75316895487661	10.810688287237982	3.2980032350418527	3.766145475178789	1.1766659942962487	1.6361320054776167	0.7290363357302079	3.335863624822126	0.3152174619132528	host	tdk	None	None	11.436949908244468
gene-b1355	2.39692547493071	3.875550035452322	2.2645104219027186	3.648638050364204	0.9108391767570653	2.0860750100805974	0.4009436526546928	2.5837756991285654	1.387009025219708	1.399540721925087	0.8982848453769385	1.0449277702963462	host	ydaG	None	None	0.5815400690888388
gene-b0127	54.94311695447968	25.266766148946896	57.42936624756062	19.29368530482176	18.96844693343597	3.815488520165516	10.451783566775243	2.3788423624525787	3.9186371489216993	1.4058120022324438	10.857909053342606	0.6594204375656553	host	yadG	None	None	20.53017249518057
gene-T4p232	0.7704403312277281	0.14485029202271965	11.264783986505872	102.4269758104089	226.89654492430466	1116.2711129153738	1556.1625518660262	4023.5346585440043	1825.3534132257507	2231.6714931960682	1255.5134794223745	2195.9743531832473	phage	nrdB.1	early	middle	1168.527708939375
gene-b3544	853.9181160717236	113.3431915631211	785.2123497716757	108.85001800727872	408.3227454982676	18.911816184387074	131.24546376218117	6.026004828270532	49.443248964315224	3.744896205552992	99.92580952537305	2.4020527768672673	host	dppA	None	None	392.0231134140182
gene-b3445	4.494235265495082	8.37717522198062	5.459087624229768	4.05529044390849	3.3343219863428284	1.3353658130509878	1.1813518337147195	1.067449706207776	0.8173446041473279	0.9516107930671953	0.7218360364636113	0.599767215093566	host	insB6	None	None	2.0700966717166946
gene-b0733	66.201890029396	89.60776956220023	58.592119561522814	72.92344533507963	26.463099982454317	7.346929439689825	11.694828721314222	3.3648451394977283	6.038660708270125	2.2385652817966353	14.298702366659679	1.4342425691721221	host	cydA	None	None	31.929446171762894
gene-b3017	40.259187754090966	57.51325437739459	51.83235638122191	31.54593385736589	17.723654044540346	4.807003248426034	13.75211190793325	2.8827941110324646	5.221161362451258	2.2182823299498566	13.474272680654076	0.9555526925821909	host	ftsP	None	None	18.464402616514224
gene-b1565	5.287335606464802	6.401814867043336	5.851571048194	3.311897621780895	1.4734163153423114	1.8562531869361247	0.5306607167488581	0.830775336958088	0.6119157464204594	0.8390911568102899	1.9815106883314821	0.6366156583738243	host	ydfV	None	None	1.7921444924348005
gene-b2077	2.970765683971325	2.637993877600208	2.3131727221312577	2.3310446924631036	1.2446848919667524	1.6281542783719398	0.7262856419910217	1.3569275926370032	0.1322360299467942	0.9682285470293344	0.9420572001304758	0.4696482260563178	host	mdtD	None	None	0.5096035707668257
gene-b2003	3.7897335211742305	4.220232832445724	2.163962661856845	2.3717847531491447	1.292406939993133	1.655577166726814	0.24381708607379965	1.7309995235801772	0.8434514342552278	0.8074273395721657	0.5462542978643545	1.0590484158408913	host	yeeT	None	None	0.8172942485136968
gene-b3607	88.25759531597056	82.28553888292103	119.38267534446997	53.62065294881449	59.686559922164626	11.724009961701885	27.59048383505194	5.775376400347068	9.339531574928326	3.2945392906630704	22.57186554897891	2.459775225697603	host	cysE	None	None	35.21436839008185
gene-b1248	70.01201409956701	58.73547659437625	100.44721228582772	34.63918600478994	51.54521704829756	12.714128971300159	14.269949092210199	3.1709974489305117	7.830296406013079	1.5120911995624196	12.12684541258867	0.9974310534646941	host	yciU	None	None	31.520495918183926
gene-b0880	123.39372344943295	69.59766831107635	63.47099211104477	33.8945893368316	30.057692832983154	15.550098125990623	14.674537687161756	5.228861330100859	6.824084404080963	3.208177962566739	18.86398175291571	2.6571020444678517	host	cspD	None	None	37.54832389792948
gene-b2958	68.22249133021533	10.088822839382425	63.628699086855846	5.087648315917328	25.560424397745145	2.69819659672501	18.117641304333926	1.7982421973807916	6.60563048260886	0.7737845337566588	18.021839710374827	0.5131341729133843	host	yggN	None	None	27.666819797475767
gene-b3866	73.72660769654519	90.06279921647923	40.50428935310871	40.6197767533954	16.79694599490235	7.066241123378694	13.054253632021908	3.373334275183306	7.710138404897789	2.3462888573449994	16.882471064584227	1.3303072033604741	host	yihI	None	None	30.35116537180272
gene-b3962	134.46905892443183	302.29232377767556	112.43928085993875	80.27785003745652	35.54613275459853	11.594058602282592	20.74690228351317	178.58885461934818	8.25968329579445	4.554097671162922	16.01332192240474	2.2583097880525194	host	sthA	None	None	103.70265376086131
gene-T4p103	0.5016820761482881	0.031440373462295744	2.595535201184179	72.63627874923124	30.184786671600417	981.6434212296294	635.4024467477683	2898.773296630327	3724.5063050010235	4648.265307017008	2354.864167328265	3919.572667673236	phage	rI.-1	middle	late	1827.9158770476083
gene-b2063	10.82702132141997	11.867847789588735	11.552311689657945	6.30862672305331	4.321310867000849	1.9677489140735218	2.631192720546421	1.5862451927912755	0.5910549823379438	1.1346800870502782	2.832659597637505	0.6997284176091604	host	yegH	None	None	3.7131795418529987
gene-b3191	141.10064351913536	104.91299722216982	134.73176803201088	67.15060282346927	63.99109930584076	10.017273029209234	38.11010331100472	4.484294213205664	10.57240552897063	2.8507128519588707	30.93583013415477	1.805013713995875	host	mlaB	None	None	47.89896582186631
gene-T4p135	1.0438223842440189	0.0654162609134863	1240.4455879056286	1680.757902338378	1060.613457515747	2871.1959720825957	78.86302974393513	2162.7537576028494	948.1101531909104	1997.497099971902	587.4348234807737	2390.3445045830968	phage	trna.4	early	early	703.4985903203316
gene-b0895	3.455761485701072	2.7760628781829966	3.321386645162448	2.4827106921209388	1.3927880615459978	1.8459549723067983	0.7882630064327697	1.6549855041727728	0.666572298527918	0.979887548024473	0.9811363602418016	0.7282610326961358	host	dmsB	None	None	0.5428956738340746
gene-b4196	3.877054570049213	3.3455744867182995	3.4213636723283334	3.209154871883977	1.196263434911353	2.6029093404700103	1.2471749564143668	2.243120119957354	0.5177314794598911	1.1683510812242397	0.9314013373724017	0.5056102114337159	host	ulaD	None	None	0.6886079368592071
gene-b0264	10.914571359059483	25.03495880459338	26.255611907009836	14.36763567246249	11.629464488951815	4.517514133512916	5.906759168573599	3.3196512841406656	2.0062094829070776	2.124302881493436	5.534076279554353	1.3461441938766705	host	insB2	None	None	7.267632961628809
gene-b0139	1.0213227485559262	1.0818610725207283	0.4202530888552554	1.6235378757991548	0.2682032217933622	1.5708642113134808	0.18750829021379972	1.2766159925725258	0.7351468159074435	0.7477560350310357	0.326743332902697	0.4266242546162087	host	htrE	None	None	0.2890530553166812
gene-b1419	53.18694976268662	51.816445842886	51.95545463060055	23.850639336358157	20.49388147703397	5.623624187023235	8.399078240956063	2.6162427812625597	4.0892852295270705	1.141535204222717	11.848067357126862	0.5790855869868914	host	ydcA	None	None	20.560858450738447
gene-b2511	121.48165059806664	80.46359969167564	176.55867917060837	69.44301951253256	96.63985114696399	7.9164850782978515	44.940802288902276	3.1105380754292073	15.78817401619745	1.7924558047528731	37.78833702904412	1.1264059903834631	host	der	None	None	52.30080933354368
gene-b2902	62.194417061206124	11.398783464174988	95.38728375670293	7.023831174540099	48.31487649289997	3.5478387524504966	17.387697517343632	2.5984321632501937	3.2717753215868113	1.569274103523322	7.334785531807664	0.9119041313358089	host	ygfF	None	None	39.073072084246874
gene-b4387	25.987131544481326	11.488312463122863	17.943047695142802	4.924344698286251	4.893112786764699	3.145146595805394	3.104982240325876	2.538964453262717	1.9160078162337362	1.5247232551920895	3.5722490362664296	1.0310416869701489	host	ytjB	None	None	8.06611467160823
gene-b2074	8.452619403181135	5.8594728705729	4.6542221411702505	3.207377861746716	1.3465531098692192	1.778484337758169	1.084282714510888	1.4827444883566592	0.6901703562992297	1.0209297610936519	1.068872592455732	0.6189905232696419	host	mdtA	None	None	2.164325858969452
gene-b0110	35.99296243061713	20.69784716228992	29.66895447950961	10.431029508678023	6.460027856891142	3.138912609586087	5.981469165962672	2.238431323719985	1.2890138223509242	1.2374701617356019	6.37098762617883	0.6206286834446465	host	ampD	None	None	12.612118854294174
gene-b0365	2.2177160936274793	1.8067930506509955	1.1337669001515613	1.96953552509186	0.9789393021220796	1.7397726798787176	0.5058634869942384	1.749665945473565	0.1944405175541647	0.8501882890199128	0.6296389103109382	0.6626711493868684	host	tauA	None	None	0.3374281013198873
gene-b1775	0.6096527838410719	1.0668538899412483	0.6645845803410152	1.5631159263741699	0.20790894252063444	1.6360392995418391	0.03922274862926342	1.195258065680145	0.08141139930637417	0.7196634983143216	0.08787569139557007	0.3553403442467388	host	ydjK	None	None	0.4331175853636761
gene-b2924	191.7456863377497	280.02034501757953	147.1480901081585	143.3042815659986	47.74764952721271	14.80752293371744	21.562945222038962	6.99693112168785	10.9172591915377	4.529470441502393	19.859293881242767	3.362597329500188	host	mscS	None	None	106.07515442450435
