Geneid	0_R1	0_R2	10_R1	10_R2	30_R1	30_R2	50_R1	50_R2	70_R1	70_R2	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-HB27c_C0591	100	118	59	58	93	72	53	48	51	40	host	gene-HB27c_C0591	None	None	5.575594390322878
gene-HB27c_C0687	4	3	1	0	0	1	1	3	4	0	host	gene-HB27c_C0687	None	None	1.1799569585679968
gene-HB27c_C0658	32	45	18	13	26	23	5	9	15	12	host	gene-HB27c_C0658	None	None	4.489437412402541
gene-HB27c_C0487	5	16	3	1	4	1	9	1	0	1	host	gene-HB27c_C0487	None	None	6.995460305141675
gene-HB27c_C0723	46	77	14	14	51	32	24	16	21	15	host	gene-HB27c_C0723	None	None	5.488937108823371
gene-HB27c_C1023	17	37	14	19	16	18	10	12	7	8	host	gene-HB27c_C1023	None	None	5.216086756804816
gene-HB27c_C1215	9	20	6	12	19	10	3	7	3	6	host	gene-HB27c_C1215	None	None	18.437406056162928
gene-HB27c_C0699	56	95	47	32	61	43	46	33	35	27	host	gene-HB27c_C0699	None	None	6.39262560586255
gene-HB27c_C0998	336	469	229	310	493	324	225	150	171	134	host	gene-HB27c_C0998	None	None	19.252738670213535
gene-HB27c_C1192	117	159	59	71	160	89	62	52	69	48	host	gene-HB27c_C1192	None	None	14.853335266680569
gene-HB27c_C0395	258	411	228	292	351	303	249	234	218	129	host	gene-HB27c_C0395	None	None	11.228006486999865
gene-HB27c_C1914	63	89	33	31	32	28	34	21	21	16	host	gene-HB27c_C1914	None	None	18.072447583005694
gene-HB27c_C1107	66	102	34	21	67	62	49	35	57	41	host	gene-HB27c_C1107	None	None	7.526975432278807
gene-HB27c_C1873	108	145	71	59	115	76	54	49	63	48	host	gene-HB27c_C1873	None	None	10.454761641250235
gene-HB27c_C1124	118	146	98	95	179	104	97	59	115	66	host	gene-HB27c_C1124	None	None	9.418363160324644
gene-HB27c_C0307	39	72	20	33	64	31	22	27	20	22	host	gene-HB27c_C0307	None	None	7.811734453203658
gene-HB27c_P0231	7	11	5	7	10	5	5	9	8	5	host	gene-HB27c_P0231	None	None	0.8833734539123997
gene-HB27c_C1932	333	472	251	318	446	323	281	228	295	169	host	gene-HB27c_C1932	None	None	17.92771997358167
gene-HB27c_C1212	404	607	360	406	318	293	227	217	176	142	host	gene-HB27c_C1212	None	None	27.23312211534721
gene-HB27c_C0164	177	302	88	106	274	171	132	77	110	80	host	gene-HB27c_C0164	None	None	14.030345403841313
gene-HB27c_C0740	16	16	7	8	16	15	5	7	14	11	host	gene-HB27c_C0740	None	None	3.8303538871101175
gene-HB27c_C0926	184	245	88	103	227	157	111	94	109	66	host	gene-HB27c_C0926	None	None	8.476456769524372
gene-HB27c_P0138	52	75	20	12	62	38	13	14	32	19	host	gene-HB27c_P0138	None	None	5.259333065780864
gene-HB27c_C1592	138	184	85	141	128	156	98	87	92	49	host	gene-HB27c_C1592	None	None	13.10158262599812
gene-HB27c_C0525	241	409	110	85	307	150	117	105	149	99	host	gene-HB27c_C0525	None	None	27.03499433024707
gene-HB27c_C0218	166	224	105	137	185	157	98	112	87	49	host	gene-HB27c_C0218	None	None	9.049111223103317
gene-HB27c_C2025	73	124	71	53	97	72	49	42	45	30	host	gene-HB27c_C2025	None	None	22.338946499468445
gene-HB27c_C2014	70	112	50	51	65	51	62	32	54	34	host	gene-HB27c_C2014	None	None	5.630043446973736
gene-HB27c_C0811	27	34	9	13	26	21	17	18	15	9	host	gene-HB27c_C0811	None	None	3.1171079762826652
gene-HB27c_C0384	196	368	179	250	242	229	177	147	142	81	host	gene-HB27c_C0384	None	None	59.08580273558538
gene-HB27c_C2047	152	226	83	119	194	128	104	94	80	53	host	gene-HB27c_C2047	None	None	20.265947302986493
gene-HB27c_C0204	144	230	107	103	243	159	116	100	110	58	host	gene-HB27c_C0204	None	None	10.274763341264089
gene-HB27c_C0810	61	72	21	44	84	47	43	27	61	22	host	gene-HB27c_C0810	None	None	3.0120614819891873
gene-HB27c_C0197	772	1009	671	1016	1497	1206	1061	862	1348	1034	host	gene-HB27c_C0197	None	None	101.80419200633831
gene-HB27c_P0277	7	20	7	6	20	7	5	7	4	2	host	gene-HB27c_P0277	None	None	1.174488176078172
gene-HB27c_P0062	34	76	13	26	41	28	11	11	13	6	host	gene-HB27c_P0062	None	None	6.728391642743947
gene-HB27c_C0172	59	93	23	23	57	35	25	19	19	17	host	gene-HB27c_C0172	None	None	9.736093497338043
gene-HB27c_C1765	164	193	99	90	182	117	83	68	77	58	host	gene-HB27c_C1765	None	None	6.007422424220239
gene-HB27c_C0794	120	162	84	104	156	124	112	74	139	108	host	gene-HB27c_C0794	None	None	5.493705670282815
gene-HB27c_C0201	103	187	72	60	113	96	59	55	52	31	host	gene-HB27c_C0201	None	None	17.796707708530462
